0021030,5857434758
0094858,8576785890
0098476,1010923823
0100404,7575738420
0203020,1202310110
0405049,0439492440
0495054,9858028950
0495950,0203024440
0595847,4857472413
1029384,8485867742
1214762,8484544728
1231131,9988949211
2838288,8575748999
3452131,2944838499
3452132,8849289982
3992939,0948572140
4948377,7564894985
5577567,8572657110
7547581,8577275751
7562671,9059289981
7572118,8582885111
7572748,5727578862
7572859,1293913110
7575626,1934748140
8474762,8485757728
8474765,9393939992
8474766,9393939991
8478550,8889444440
8577672,1020010291
8577711,1857710291
8577781,9585727710
8584733,1202312210
8585727,9495857278
9339495,8575746378
9394857,9485747245
9394858,9485747246
9493949,4857475848
9495882,1858772113
