523456789011112,a,            "variable","none",         "none",         "arbitrary variable",   a = sympy.Symbol('a')
394949020392392,A,            "variable","none",         "length*length","Area",                 A = sympy.Symbol('A')
137035999999999,\alpha,       "constant",1/137.03599999, "dimensionless","fine-structure constant: strength of the electromagnetic interaction",null
559382384859350,\hat{A},      "variable","none",         "none",         "generic quantum operator",null
521456739011112,b,            "variable","none",         "none",         "arbitrary variable",    b = sympy.Symbol('b')
222222221111111,\vec{B},      "variable","none",         "Tesla",        "magnetic field",        null
293948485758589,C,            "variable","none",         "Farad",        "capacitance",           C = sympy.Symbol('C')
521456789011112,c,            "variable","none",         "none",         "arbitrary variable",    c = sympy.Symbol('c')
111111111111111,c,            "constant",299792458,      "meters/second","speed of light",       c = sympy.Symbol('c')
303030303030303,\cdot,        "operator","none",         "none",         "dot or inner product",
101001203013011,\cos,         "operator","none",         "none",         "trigonometric cosine function",cos=sympy.cos
939485829495824,d,            "operator","none",         "none",         "differential element",
020998876678990,d,            "variable","none",         "length",       "distance",             d = sympy.Symbol('d')
000000010000000,\delta,       "operator","none",         "none",         "Dirac delta function", null
284857219191913,\delta,       "operator","none",         "none",         "Kronecker delta (tensor)",
261738844710260,du,           "infinitesimal","none",    "none",         "differential element",  du=sympy.Symbol('du')
590098651360374,dx,           "infinitesimal","none",    "none",         "differential element",  dx=sympy.Symbol('dx')
764178910971058,dy,           "infinitesimal","none",    "none",         "differential element",  dy=sympy.Symbol('dy')
546488007521880,dz,           "infinitesimal","none",    "none",         "differential element",  dz=sympy.Symbol('dz')
193877428200388,e,            "constant",1.602E-19,      "Coulombs",     "elementary charge of electron",
827344378912938,E,            "variable","none",         "mass*length*length/(time*time)","energy [Joule]=kg*m^2/s^2=Watt*s=Pa*m^3=N*m",E = sympy.Symbol('E')
111111122222222,\vec{E},      "variable","none",         "none",         "electric field",
494985835835835,\epsilon,     "variable",0 or 1 or -1,   "dimensionless","Levi-Cevita"
100100100100100,\epsilon_0,   "constant",8.854187E-12,   "Farads/meter", "permittivity of free space",epsilon0 = sympy.Symbol('epsilon0')
338474537734346,\exp,         "constant",2.71828,        "dimensionless","base of natural logarithm",sympy.exp
123456789012345,f,            "operator","none",         "none",         "arbitrary function",   f = sympy.Symbol('f', cls=Function)
102938475990112,f,            "variable","none",         "1/time",       "linear frequency",     f = sympy.Symbol('f')
849859383472895,\vec{F},      "variable","none",         "mass*length/(time^2)","force",
125678999876654,F,            "variable","none",         "mass*length/(time^2)","force",         F = sympy.Symbol('F')
666789987654321,G,            "constant",6.67408E-11,    "m^3*(1/kg)*(1/(s^2))","gravitational constant",
789876542398765,h,            "constant",6.626070040E−34,"Joules*seconds","Planck's constant"
511456739011112,h,            "variable","none",         "none",         "arbitrary variable",   h = sympy.Symbol('h')
828384848292884,{\cal H},     "variable","none",         "none",         "Hamiltonian operator",
022222221111111,\vec{H},      "variable","none",         "Amps/meter",   "magnetic field",
536367483892748,\hbar,        "constant",1.054E-34,      "Joule*seconds","reduced Planck's constant",hbar = sympy.Symbol('hbar')
212121212121212,i,            "constant",\sqrt{-1},      "unitless",     "imaginary",            i=sympy.I
293848595939488,I,            "variable","none",         "Amps",         "current",              I = sympy.Symbol('I')
948588392938481,k,            "variable","none",         "1/length",     "wave number",          k = sympy.Symbol('k')
111588392938481,\vec{k},      "variable","none",         "1/length",     "vector wave number",
999999911110000,k_{Boltzmann},"constant","none",         "none",         "Boltzmann's constant", kboltzmann = sympy.Symbol('kboltzmann')
394848859594838,L,            "variable","none",         "length",       "inductance",           L = sympy.Symbol('L')
848377849938482,\lambda,      "variable","none",         "length",       "wavelength",           lambdah = sympy.Symbol('lambdah')
003948585484456,\log,         "operator","none",         "none",         "log()",                sympy.log
030949482852494,m,            "variable","none",         "kg",           "mass",                 m = sympy.Symbol('m')
200200200200200,\mu_0,        "constant","4*\pi*10^{-7}",  "N/(A^2)",       "vacuum permeability",  mu0 = sympy.Symbol('mu0')
829438536036040,n,            "variable","none",         "unitless",     "real float",           n = sympy.Symbol('n')
101010101010101,\vec{\nabla}, "operator","none",         "none",         "spatial vector differential",
188888017088888,\nabla^2,     "operator","none",         "none",         "Laplacian",
